Case ID,Case Name,Keyword Matched Areas,Keyword Count,Airtable Areas,Airtable Count,Matching Areas,Keyword Only,Airtable Only,Matching Criteria,Solved
"recxBxN7w3ISMZ83H","Resolve Upper Eye Hollow with Fat Grafting","Eyes",1,"Eyes",1,"Eyes",,,,
"recxDCtziA9a0yKDw","Smooth Under Eye Wrinkles with Microneedling","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"recxU0FpEDYRVz06l","Resolve Nose Under-Projected with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recxycQc4hulKpsmn","Burn Off Stubborn Fat with Everesse RF Body Contouring",,0,,0,,,,,
"recyHYbBp8xUetx7f","Resolve Under Eye Hollow with Filler","Eyes",1,"Eyes",1,"Eyes",,,,
"recyd3FegGye3aaCh","Resolve Jawline Ill-Defined with Jaw Implant","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recz4feOXQ4x4puBJ","Resolve Deep Labiomental Groove with Jaw Reduction","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recz9RI2wXb4qCNEV","Lighten Dark Circles with Topical/Skincare","Skin",1,"Eyes",1,,"Skin","Eyes",,
"reczAhYBCgBNiHoeb","Solve Excess Submental Fullness with Necklift","Neck",1,"Jawline",1,,"Neck","Jawline",,
"reczG29LktxBlh6eV","Resolve Masseter Hypertrophy with Neurotoxin","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"reczHnOWx2sCiv2QK","Smoothen Wrinkles with Filler","Skin",1,"Skin All Skin All",1,,"Skin","Skin All Skin All",,
"reczgDgGmKO6Vslap","Resolve Columellar Retraction with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"reczqLstrRQPrKwgf","Resolve Excess Skin - Upper Eyelid with Heat/Energy","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"reczwBf9Db8VH7NJE","Resolve Excess Skin - Lower Eyelid with Microneedling","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"reczxqJp3zNylgxaR","Resolve Excess Skin - Lower Eyelid with Heat/Energy","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
